WigleWifi-1.4,appRelease=pi-gadget,model=RaspberryPi,release=1.0,device=Pi,display=,board=,brand=RPi,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:49:01,6,2437,-77,46.04833688,-118.39147852,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:49:01,6,2437,-85,46.04833688,-118.39147852,0,10,WIFI
90:D3:CF:2A:2F:1E,SpectrumSetup-2F21,[WPA2],2026-03-02 15:49:01,1,2412,-80,46.04833688,-118.39147852,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:49:01,6,2437,-78,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:01,1,2412,-80,46.04833688,-118.39147852,0,10,WIFI
7E:8A:20:08:5C:9B,WWU-Guest,[OPEN],2026-03-02 15:49:01,1,2412,-78,46.04833688,-118.39147852,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:01,1,2412,-70,46.04833688,-118.39147852,0,10,WIFI
78:8A:20:08:78:C3,WWU-HWAuth,[OPEN],2026-03-02 15:49:01,1,2412,-81,46.04833688,-118.39147852,0,10,WIFI
7E:8A:20:5A:FA:73,WWU-Guest,[OPEN],2026-03-02 15:49:01,1,2412,-74,46.04833688,-118.39147852,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:49:01,1,2412,-78,46.04833688,-118.39147852,0,10,WIFI
90:D3:CF:88:FF:65,TG Internet,[WPA2],2026-03-02 15:49:01,1,2412,-74,46.04833688,-118.39147852,0,10,WIFI
7E:8A:20:08:82:97,WWU-Guest,[OPEN],2026-03-02 15:49:01,1,2412,-79,46.04833688,-118.39147852,0,10,WIFI
7E:8A:20:08:82:8F,WWU-Guest,[OPEN],2026-03-02 15:49:01,1,2412,-80,46.04833688,-118.39147852,0,10,WIFI
78:8A:20:08:82:8F,WWU-HWAuth,[OPEN],2026-03-02 15:49:01,1,2412,-81,46.04833688,-118.39147852,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:49:01,1,2412,-79,46.04833688,-118.39147852,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:01,1,2412,-80,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:08:82:97,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:01,1,2412,-78,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:01,1,2412,-79,46.04833688,-118.39147852,0,10,WIFI
82:8A:20:08:82:8F,WWU,[WPA2],2026-03-02 15:49:01,1,2412,-78,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:5A:FA:73,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:01,1,2412,-80,46.04833688,-118.39147852,0,10,WIFI
24:94:CB:E0:0B:52,Ziply-0B50,[WPA2],2026-03-02 15:49:01,1,2412,-83,46.04833688,-118.39147852,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:49:01,1,2412,-70,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:01,1,2412,-77,46.04833688,-118.39147852,0,10,WIFI
58:9B:4A:85:C5:A6,Olson1,[WPA2],2026-03-02 15:49:01,1,2412,-82,46.04833688,-118.39147852,0,10,WIFI
2A:97:CD:74:3F:2A,,[WPA],2026-03-02 15:49:01,1,2412,-73,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:57:CC:7A,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:01,1,2412,-82,46.04833688,-118.39147852,0,10,WIFI
84:1E:A3:CD:A5:4E,,[WPA],2026-03-02 15:49:01,1,2412,-84,46.04833688,-118.39147852,0,10,WIFI
86:8A:20:08:82:8F,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:01,1,2412,-82,46.04833688,-118.39147852,0,10,WIFI
82:8A:20:08:5C:9B,WWU,[WPA2],2026-03-02 15:49:01,1,2412,-78,46.04833688,-118.39147852,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:49:01,1,2412,-75,46.04833688,-118.39147852,0,10,WIFI
24:F5:A2:55:F2:CB,,[WPA],2026-03-02 15:49:10,8,2447,-84,46.04831989,-118.39146188,0,10,WIFI
F8:7B:8C:15:F4:31,FBI Surveillance,[WPA2],2026-03-02 15:49:10,9,2452,-73,46.04831989,-118.39146188,0,10,WIFI
9C:3D:CF:90:5D:C1,NETGEAR78,[WPA2],2026-03-02 15:49:10,8,2447,-86,46.04831989,-118.39146188,0,10,WIFI
9E:3D:CF:90:5D:C2,Rosebud1,[WPA2],2026-03-02 15:49:10,8,2447,-82,46.04831989,-118.39146188,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:49:10,1,2412,-78,46.04831989,-118.39146188,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:10,1,2412,-82,46.04831989,-118.39146188,0,10,WIFI
B0:FC:88:6E:A5:BD,SpectrumSetup-B7,[WPA2],2026-03-02 15:49:10,1,2412,-75,46.04831989,-118.39146188,0,10,WIFI
86:8A:20:57:CC:7A,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:10,1,2412,-84,46.04831989,-118.39146188,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:49:10,1,2412,-79,46.04831989,-118.39146188,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:10,1,2412,-75,46.04831989,-118.39146188,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:10,1,2412,-78,46.04831989,-118.39146188,0,10,WIFI
7E:8A:20:08:5C:9B,WWU-Guest,[OPEN],2026-03-02 15:49:10,1,2412,-76,46.04831989,-118.39146188,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:10,1,2412,-76,46.04831989,-118.39146188,0,10,WIFI
78:8A:20:5A:FA:73,WWU-HWauth,[OPEN],2026-03-02 15:49:10,1,2412,-80,46.04831989,-118.39146188,0,10,WIFI
78:8A:20:57:CC:7A,WWU-HWauth,[OPEN],2026-03-02 15:49:10,1,2412,-81,46.04831989,-118.39146188,0,10,WIFI
82:8A:20:08:5C:9B,WWU,[WPA2],2026-03-02 15:49:10,1,2412,-79,46.04831989,-118.39146188,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:49:10,1,2412,-75,46.04831989,-118.39146188,0,10,WIFI
7E:8A:20:57:CC:7A,WWU-Guest,[OPEN],2026-03-02 15:49:10,1,2412,-86,46.04831989,-118.39146188,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:10,1,2412,-76,46.04831989,-118.39146188,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:49:10,1,2412,-75,46.04831989,-118.39146188,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:49:10,6,2437,-77,46.04831989,-118.39146188,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:49:10,6,2437,-77,46.04831989,-118.39146188,0,10,WIFI
70:A7:41:D4:01:89,,[WPA2],2026-03-02 15:49:10,6,2437,-75,46.04831989,-118.39146188,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:49:10,6,2437,-77,46.04831989,-118.39146188,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:10,6,2437,-36,46.04831989,-118.39146188,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:19,1,2412,-74,46.04845226,-118.39155869,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:19,6,2437,-40,46.04845226,-118.39155869,0,10,WIFI
2A:97:CD:74:3F:2A,SpectrumSetup-29,[WPA2],2026-03-02 15:49:19,1,2412,-73,46.04845226,-118.39155869,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:19,1,2412,-73,46.04845226,-118.39155869,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:49:19,1,2412,-73,46.04845226,-118.39155869,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:19,1,2412,-76,46.04845226,-118.39155869,0,10,WIFI
4C:19:5D:4D:04:5A,SpectrumSetup-54,[WPA2],2026-03-02 15:49:19,1,2412,-78,46.04845226,-118.39155869,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:49:19,1,2412,-76,46.04845226,-118.39155869,0,10,WIFI
82:8A:20:08:82:8F,WWU,[WPA2],2026-03-02 15:49:19,1,2412,-86,46.04845226,-118.39155869,0,10,WIFI
7E:8A:20:08:5C:9B,WWU-Guest,[OPEN],2026-03-02 15:49:19,1,2412,-75,46.04845226,-118.39155869,0,10,WIFI
78:8A:20:08:78:C3,WWU-HWAuth,[OPEN],2026-03-02 15:49:19,1,2412,-77,46.04845226,-118.39155869,0,10,WIFI
BC:96:E5:52:15:75,The Internet,[WPA2],2026-03-02 15:49:19,1,2412,-79,46.04845226,-118.39155869,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:19,1,2412,-77,46.04845226,-118.39155869,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:49:19,1,2412,-77,46.04845226,-118.39155869,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:49:19,1,2412,-82,46.04845226,-118.39155869,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:19,1,2412,-78,46.04845226,-118.39155869,0,10,WIFI
B0:FC:88:6E:A5:BD,SpectrumSetup-B7,[WPA2],2026-03-02 15:49:19,1,2412,-77,46.04845226,-118.39155869,0,10,WIFI
7E:8A:20:08:82:8F,WWU-Guest,[OPEN],2026-03-02 15:49:19,1,2412,-80,46.04845226,-118.39155869,0,10,WIFI
86:8A:20:08:82:8F,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:19,1,2412,-75,46.04845226,-118.39155869,0,10,WIFI
70:A7:41:D4:01:89,,[WPA2],2026-03-02 15:49:19,6,2437,-79,46.04845226,-118.39155869,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:49:19,6,2437,-79,46.04845226,-118.39155869,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:49:19,6,2437,-76,46.04845226,-118.39155869,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:49:19,6,2437,-75,46.04845226,-118.39155869,0,10,WIFI
9C:3D:CF:90:5D:C1,NETGEAR78,[WPA2],2026-03-02 15:49:19,8,2447,-82,46.04845226,-118.39155869,0,10,WIFI
82:8A:20:08:5C:9B,WWU,[WPA2],2026-03-02 15:49:19,1,2412,-76,46.04845226,-118.39155869,0,10,WIFI
7E:8A:20:08:82:97,WWU-Guest,[OPEN],2026-03-02 15:49:19,1,2412,-77,46.04845226,-118.39155869,0,10,WIFI
6C:CD:D6:C3:67:BF,S&Y LLC,[WPA2],2026-03-02 15:49:19,2,2417,-82,46.04845226,-118.39155869,0,10,WIFI
2A:97:CD:74:3F:2A,SpectrumSetup-29,[WPA2],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
B0:FC:88:6E:A5:BD,SpectrumSetup-B7,[WPA2],2026-03-02 15:49:29,1,2412,-78,46.04847473,-118.39160902,0,10,WIFI
6C:CD:D6:C3:67:BF,S&Y LLC,[WPA2],2026-03-02 15:49:29,2,2417,-80,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:29,1,2412,-78,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:49:29,1,2412,-77,46.04847473,-118.39160902,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
86:8A:20:08:82:97,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:29,1,2412,-80,46.04847473,-118.39160902,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:49:29,1,2412,-75,46.04847473,-118.39160902,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:29,6,2437,-45,46.04847473,-118.39160902,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
7E:8A:20:08:82:97,WWU-Guest,[OPEN],2026-03-02 15:49:29,1,2412,-79,46.04847473,-118.39160902,0,10,WIFI
7E:8A:20:08:5C:9B,WWU-Guest,[OPEN],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
58:9B:4A:85:C5:A6,Olson1,[WPA2],2026-03-02 15:49:29,1,2412,-77,46.04847473,-118.39160902,0,10,WIFI
82:8A:20:08:82:8F,WWU,[WPA2],2026-03-02 15:49:29,1,2412,-77,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:49:29,1,2412,-83,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:08:82:8F,WWU-HWAuth,[OPEN],2026-03-02 15:49:29,1,2412,-84,46.04847473,-118.39160902,0,10,WIFI
BC:96:E5:52:15:75,The Internet,[WPA2],2026-03-02 15:49:29,1,2412,-79,46.04847473,-118.39160902,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:29,1,2412,-77,46.04847473,-118.39160902,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:29,1,2412,-82,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:08:78:C3,WWU-HWAuth,[OPEN],2026-03-02 15:49:29,1,2412,-83,46.04847473,-118.39160902,0,10,WIFI
82:8A:20:08:5C:9B,WWU,[WPA2],2026-03-02 15:49:29,1,2412,-76,46.04847473,-118.39160902,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:49:29,6,2437,-77,46.04847473,-118.39160902,0,10,WIFI
92:90:2D:B4:20:31,Apartment 3,[WPA2],2026-03-02 15:49:29,6,2437,-76,46.04847473,-118.39160902,0,10,WIFI
9C:3D:CF:90:5D:C1,NETGEAR78,[WPA2],2026-03-02 15:49:29,8,2447,-81,46.04847473,-118.39160902,0,10,WIFI
78:8A:20:5A:F3:D9,,[OPEN],2026-03-02 15:49:29,7,2442,-1,46.04847473,-118.39160902,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:49:29,6,2437,-78,46.04847473,-118.39160902,0,10,WIFI
24:F5:A2:55:F2:CB,ADUX,[WPA2],2026-03-02 15:49:38,8,2447,-76,46.04848914,-118.39160573,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:38,6,2437,-11,46.04848914,-118.39160573,0,10,WIFI
F8:7B:8C:15:F4:31,FBI Surveillance,[WPA2],2026-03-02 15:49:38,9,2452,-68,46.04848914,-118.39160573,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:49:38,1,2412,-75,46.04848914,-118.39160573,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:38,1,2412,-64,46.04848914,-118.39160573,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:49:38,1,2412,-72,46.04848914,-118.39160573,0,10,WIFI
5C:FA:25:E8:AB:B6,its for my fish,[WPA2],2026-03-02 15:49:38,1,2412,-71,46.04848914,-118.39160573,0,10,WIFI
7E:8A:20:08:8C:FB,WWU-Guest,[OPEN],2026-03-02 15:49:38,1,2412,-67,46.04848914,-118.39160573,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:49:38,1,2412,-72,46.04848914,-118.39160573,0,10,WIFI
B0:FC:88:6E:A5:BD,,[WPA],2026-03-02 15:49:38,1,2412,-71,46.04848914,-118.39160573,0,10,WIFI
86:8A:20:57:CC:7A,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:38,1,2412,-76,46.04848914,-118.39160573,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:38,1,2412,-79,46.04848914,-118.39160573,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:38,1,2412,-68,46.04848914,-118.39160573,0,10,WIFI
82:8A:20:08:78:C3,WWU,[WPA2],2026-03-02 15:49:38,1,2412,-68,46.04848914,-118.39160573,0,10,WIFI
7E:8A:20:5A:FA:73,WWU-Guest,[OPEN],2026-03-02 15:49:38,1,2412,-78,46.04848914,-118.39160573,0,10,WIFI
78:8A:20:5A:F6:E5,WWU-HWauth,[OPEN],2026-03-02 15:49:38,1,2412,-75,46.04848914,-118.39160573,0,10,WIFI
7E:8A:20:5A:F6:E5,WWU-Guest,[OPEN],2026-03-02 15:49:38,1,2412,-80,46.04848914,-118.39160573,0,10,WIFI
7E:8A:20:57:CC:7A,WWU-Guest,[OPEN],2026-03-02 15:49:38,1,2412,-73,46.04848914,-118.39160573,0,10,WIFI
78:8A:20:57:CC:7A,WWU-HWauth,[OPEN],2026-03-02 15:49:38,1,2412,-74,46.04848914,-118.39160573,0,10,WIFI
2A:97:CD:74:3F:2A,SpectrumSetup-29,[WPA2],2026-03-02 15:49:38,1,2412,-77,46.04848914,-118.39160573,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:38,1,2412,-79,46.04848914,-118.39160573,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:38,1,2412,-80,46.04848914,-118.39160573,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:47,6,2437,-13,46.04837142,-118.39150950,0,10,WIFI
8C:90:2D:B4:20:31,Remember Alaska,[WPA2],2026-03-02 15:49:47,6,2437,-73,46.04837142,-118.39150950,0,10,WIFI
70:A7:41:D4:01:89,,[WPA2],2026-03-02 15:49:47,6,2437,-71,46.04837142,-118.39150950,0,10,WIFI
72:A7:41:94:01:89,Nasral Navas,[WPA3],2026-03-02 15:49:47,6,2437,-70,46.04837142,-118.39150950,0,10,WIFI
86:2A:A8:54:6F:36,WWU-Guest,[OPEN],2026-03-02 15:49:47,6,2437,-78,46.04837142,-118.39150950,0,10,WIFI
86:8A:20:08:8C:FB,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:47,1,2412,-75,46.04837142,-118.39150950,0,10,WIFI
7E:8A:20:5A:FA:73,WWU-Guest,[OPEN],2026-03-02 15:49:47,1,2412,-77,46.04837142,-118.39150950,0,10,WIFI
86:8A:20:5A:FA:73,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:47,1,2412,-70,46.04837142,-118.39150950,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:49:47,1,2412,-78,46.04837142,-118.39150950,0,10,WIFI
78:8A:20:08:8C:FB,WWU-HWAuth,[OPEN],2026-03-02 15:49:47,1,2412,-73,46.04837142,-118.39150950,0,10,WIFI
7E:8A:20:5A:EC:A0,WWU-Guest,[OPEN],2026-03-02 15:49:47,1,2412,-76,46.04837142,-118.39150950,0,10,WIFI
90:D3:CF:88:FF:65,TG Internet,[WPA2],2026-03-02 15:49:47,1,2412,-68,46.04837142,-118.39150950,0,10,WIFI
B0:FC:88:6E:A5:BD,SpectrumSetup-B7,[WPA2],2026-03-02 15:49:47,1,2412,-73,46.04837142,-118.39150950,0,10,WIFI
86:8A:20:08:5C:9B,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:47,1,2412,-77,46.04837142,-118.39150950,0,10,WIFI
82:8A:20:08:8C:FB,WWU,[WPA2],2026-03-02 15:49:47,1,2412,-75,46.04837142,-118.39150950,0,10,WIFI
58:9B:4A:85:C5:A6,Olson1,[WPA2],2026-03-02 15:49:47,1,2412,-75,46.04837142,-118.39150950,0,10,WIFI
4C:19:5D:4D:04:5A,SpectrumSetup-54,[WPA2],2026-03-02 15:49:47,1,2412,-84,46.04837142,-118.39150950,0,10,WIFI
78:8A:20:08:5C:9B,WWU-HWAuth,[OPEN],2026-03-02 15:49:47,1,2412,-77,46.04837142,-118.39150950,0,10,WIFI
86:8A:20:08:82:97,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:47,1,2412,-74,46.04837142,-118.39150950,0,10,WIFI
82:8A:20:5A:FA:73,Resnet,[WPA2],2026-03-02 15:49:47,1,2412,-73,46.04837142,-118.39150950,0,10,WIFI
84:1E:A3:CD:A5:4E,Merlots Dog House,[WPA2],2026-03-02 15:49:47,1,2412,-73,46.04837142,-118.39150950,0,10,WIFI
78:8A:20:5A:F8:46,WWU-HWauth,[OPEN],2026-03-02 15:49:47,1,2412,-79,46.04837142,-118.39150950,0,10,WIFI
BC:96:E5:52:15:75,The Internet,[WPA2],2026-03-02 15:49:47,1,2412,-76,46.04837142,-118.39150950,0,10,WIFI
2A:97:CD:74:3F:2A,SpectrumSetup-29,[WPA2],2026-03-02 15:49:47,1,2412,-77,46.04837142,-118.39150950,0,10,WIFI
78:8A:20:5A:FA:73,WWU-HWauth,[OPEN],2026-03-02 15:49:47,1,2412,-68,46.04837142,-118.39150950,0,10,WIFI
78:8A:20:08:82:97,WWU-HWAuth,[OPEN],2026-03-02 15:49:47,1,2412,-75,46.04837142,-118.39150950,0,10,WIFI
24:F5:A2:55:F2:CB,ADUX,[WPA2],2026-03-02 15:49:47,8,2447,-75,46.04837142,-118.39150950,0,10,WIFI
BE:A2:F4:E4:39:C3,,[WPA2],2026-03-02 15:49:47,7,2442,-83,46.04837142,-118.39150950,0,10,WIFI
34:98:B5:F5:B5:67,NETGEAR44,[WPA2],2026-03-02 15:49:47,7,2442,-71,46.04837142,-118.39150950,0,10,WIFI
76:A7:41:F4:61:96,WWU-Guest,[OPEN],2026-03-02 15:49:47,6,2437,-76,46.04837142,-118.39150950,0,10,WIFI
6C:CD:D6:C3:67:BF,S&Y LLC,[WPA2],2026-03-02 15:49:47,2,2417,-79,46.04837142,-118.39150950,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:47,1,2412,-69,46.04837142,-118.39150950,0,10,WIFI
7E:8A:20:08:5C:9B,WWU-Guest,[OPEN],2026-03-02 15:49:47,1,2412,-77,46.04837142,-118.39150950,0,10,WIFI
7E:8A:20:08:78:C3,WWU-Guest,[OPEN],2026-03-02 15:49:47,1,2412,-70,46.04837142,-118.39150950,0,10,WIFI
82:8A:20:08:82:97,WWU,[WPA2],2026-03-02 15:49:47,1,2412,-76,46.04837142,-118.39150950,0,10,WIFI
26:39:F9:7C:C1:59,Goreliy Dranik,[WPA2],2026-03-02 15:49:56,6,2437,-40,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:5A:EC:A0,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:56,1,2412,-75,46.04838056,-118.39150828,0,10,WIFI
78:8A:20:5A:EC:A0,WWU-HWauth,[OPEN],2026-03-02 15:49:56,1,2412,-71,46.04838056,-118.39150828,0,10,WIFI
78:8A:20:5A:EF:2F,WWU-HWauth,[OPEN],2026-03-02 15:49:56,1,2412,-69,46.04838056,-118.39150828,0,10,WIFI
7E:8A:20:5A:E8:66,WWU-Guest,[OPEN],2026-03-02 15:49:56,1,2412,-81,46.04838056,-118.39150828,0,10,WIFI
F6:9F:C2:F7:2C:FC,WWU-Guest,[OPEN],2026-03-02 15:49:56,1,2412,-78,46.04838056,-118.39150828,0,10,WIFI
7E:8A:20:5A:FA:73,WWU-Guest,[OPEN],2026-03-02 15:49:56,1,2412,-73,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:5A:FA:73,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:56,1,2412,-74,46.04838056,-118.39150828,0,10,WIFI
4C:19:5D:26:13:A8,KushyKhloe,[WPA2],2026-03-02 15:49:56,1,2412,-77,46.04838056,-118.39150828,0,10,WIFI
7E:8A:20:5A:EC:A0,WWU-Guest,[OPEN],2026-03-02 15:49:56,1,2412,-79,46.04838056,-118.39150828,0,10,WIFI
7E:8A:20:5A:EF:2F,WWU-Guest,[OPEN],2026-03-02 15:49:56,1,2412,-69,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:5A:EF:2F,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:56,1,2412,-67,46.04838056,-118.39150828,0,10,WIFI
78:8A:20:5A:EC:0C,WWU-HWauth,[OPEN],2026-03-02 15:49:56,1,2412,-83,46.04838056,-118.39150828,0,10,WIFI
F0:9F:C2:F7:2C:FC,WWU-HWauth,[OPEN],2026-03-02 15:49:56,1,2412,-74,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:08:78:C3,WWU-HWAuth-PKI,[WPA2],2026-03-02 15:49:56,1,2412,-81,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:5A:E9:5C,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:56,1,2412,-81,46.04838056,-118.39150828,0,10,WIFI
86:8A:20:5A:FA:75,WWU-HWAuth-PSK,[WPA2],2026-03-02 15:49:56,1,2412,-78,46.04838056,-118.39150828,0,10,WIFI
F0:9F:C2:6B:2B:2F,WWU-HWauth,[OPEN],2026-03-02 15:49:56,6,2437,-67,46.04838056,-118.39150828,0,10,WIFI
F6:9F:C2:6B:2B:2F,WWU-Guest,[OPEN],2026-03-02 15:49:56,6,2437,-67,46.04838056,-118.39150828,0,10,WIFI
70:A7:41:D4:01:89,,[WPA2],2026-03-02 15:49:56,6,2437,-79,46.04838056,-118.39150828,0,10,WIFI
70:A7:41:F4:61:96,WWU-HWauth,[OPEN],2026-03-02 15:49:56,6,2437,-57,46.04838056,-118.39150828,0,10,WIFI
76:A7:41:F4:61:96,WWU-Guest,[OPEN],2026-03-02 15:49:56,6,2437,-56,46.04838056,-118.39150828,0,10,WIFI
